front,back
Ewact,expected
sympathetic,friendly
Freude,happy / pleased
gucket,watches (les)
neugierig,curiously
lart,may
schüchtern,shy
lächelt,smiles
Mochhaus,skyscraper
in Richteny,in the direction of
reine Lust auf etwas haben,to not be in the mood for
verglichen,to compare
die Kopfhörer,headsets / earphones
müde,sleepy
der Akku,battery (in cell phones)
um die Ecke,around the corner
die Kellner,waiters
besogt,worried
kein Wunder,not surprising
wie peinlich!,how embarrassing!
klingen,to ring (sound)
wie läuft es?,how’s it going?
etwas Schlimmes,something bad
Geschichte,story
verrückt,crazy
Übernachtung,overnight stay
Henige,few
Scharz,trecuse
Gentr es dic gut?,Are you okay?
Niemanden,nobody
nur,only
Es gibt,there are
nette,nice
Leute,people
dabin ich siche,I'm sure of that
trozden,despite that / none-the-less
aanderen,change
wollen,to want
noch,shad
einige,some
beraits,already
ruhiger,calmer/ quieters
gemersken,noticed
zuwailen,sway to
bevor,before
durn,through
auch schon,already
traurig,sad
troh,glad
Kapitel,chapter
Schlange,snake/ queuе
ershocke,frightened
zunehmen,to call out
untwoten,to answer
klaus,clear of course
leben,to live
der Haustür,the front door
öffnen,to prepare
etwas,slightly
mund,mouth
kräftig,strong
laufen,to run
jeden,every
genau wie,just like
die,the same
beide,both
Ich bin gerade aufgestanden,I just got up
duschen,to shower
trocken,to dry
wenig zeit,little time
Kane Sorge,no worries
reden,to talk
lieb,kind/ dear
Lasst's,Let's
ründ,soon
das Niveau,level
die Einführung,introduction
die Bedingungen,conditions
die Anforderungen,requirements
kennen - wissen,to know
gefallen,to like (+Dativ)
Was gefällt dir an diesem Job?,What do you like about this job?
suchen,search
Warst du schon einmal in Dornbirn?,Have you ever been to Dornbirn?
Ich bin in die Schweiz gereist,I traveled to Switzerland
die Stadt - die Städte,the city - the cities
im Tal,valley
das Büro,office
die Seilbahn,cable car
wandern,hike
flach,flat
es gibt eine große Nachfrage,there is a great demand
die Nachfrage,demand
es ist ein nachgefragter Job,it is a sought-after job
die europäischen Arbeiter,the European workers
sie werden bevorzugt,to be preferred
Zürich ist zwei Stunden entfernt,to be two hours away
aufregend,exciting
Ich schwimme gern,I like swimming
Was machst du noch gern?,What else do you like to do?
der Ratgeber/das Selbsthilfe-Buch,self help book
Wir schauen/sehen gerne Serien,to watch
Ihr interessiert euch sehr für Sport,Are you very interested in sports?
sich interessieren für,to be interested in
der Kanal/der Sender,channel
wir lernen die Regeln,rules
klettern,climb
der Wettbewerb,competition
sich vorbereiten,to prepare
"Du hast dich am Wochenende vorbereitet, oder?","You prepared over the weekend, right?"
der Lebenslauf,CV
über meine Fähigkeiten,about my skills
sprechen über/von,talk about/of
einen Spaziergang machen,to go for a walk
putzen - geputzt,clean
den Müll rausbringen,take the bins out
bringen - gebracht,bring
wahrscheinlich,probably
das Obst/die Früchte,the fruit/fruits
das Händl/das Hähnchen,chicken
ich koche viel im Voraus,I do batch cooking
sie wohnt eine Stunde entfernt,she lives an hour away
die Grammatik,grammar
die Krankenpflege,nursing care
die Buchhalterin,accountant
sie arbeitet gern im Garten/sie mag Gartenarbeit,she likes working in the garden
die Pension/die Rente/er ist in Rente/in Pension - er ist pensioniert,he is a pensioner
reisen,to travel
Norwegisch,Norwegian
die Schwägerin,sister in law
die Schwiegermutter,mother in law
üben,to practice
es ist eine gute Übung,it's good practice
